Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;03/2020;11.406.512;495.913.256;165.135.381;560.981.108;-39.263.689;521.717.419;0;0;0;0;0;199.499.643;72.962.369;59.941.718;1.526.576.297;0;1.526.576.297
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;03/2020;11.207.090;202.365.377;218.996.390;690.609.067;-34.182.011;656.427.056;0;0;0;0;0;87.673.046;123.243.793;14.515.928;1.314.428.681;0;1.314.428.681
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2020;21.188.482;134.622.945;317.889.609;322.930.907;-30.473.176;292.457.731;5;136;84;-56;169;216.143.360;78.423.982;212.350.712;1.273.076.989;84;1.273.076.905
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2020;13.515.440;374.199.705;264.809.228;249.978.477;-23.013.800;226.964.676;73;335;445;-35;817;158.108.811;91.692.084;143.073.302;1.272.364.063;445;1.272.363.618
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2020;11.657.906;132.653.206;200.270.243;186.895.184;-17.374.385;169.520.799;0;21.755;21.755;0;43.510;298.605.017;62.224.757;119.409.685;994.385.123;21.755;994.363.368
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2020;5.710;95.170.697;80.294.190;263.656.361;-14.716.710;248.939.651;0;0;0;0;0;27.458.503;182.907.221;105.867.284;740.643.258;0;740.643.258
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2020;1.168.071;58.420.775;66.080.767;15.941.163;-976.569;14.964.593;0;0;0;0;0;48.299.124;695.160;16.674.772;206.303.262;0;206.303.262
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2020;371.958;59.317.178;25.365.899;42.745.080;-2.087.376;40.657.704;0;0;0;0;0;11.647.565;12.195.260;11.734.942;161.290.506;0;161.290.506
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2020;3;6.026.486;1.895.442;0;0;0;0;0;0;0;0;8.126.298;25.488;114.780.622;130.854.339;0;130.854.339
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;03/2020;1.998.628;25.543.537;38.267.056;10.130.405;-206.949;9.923.456;-252;74.156;18.879;-521;92.263;36.614.608;2.193.272;525.324;115.158.143;18.879;115.139.264
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2020;502.482;135.737;13.776.144;36.084.897;-8.329.943;27.754.954;15.073;333.449;261.508;-2.506;607.523;58.433.975;914.327;11.188.221;113.313.364;261.508;113.051.856
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;03/2020;84.729;44.084.462;31.664.783;6.045.229;-206.868;5.838.361;0;0;0;0;0;6.808.847;897.434;6.207.538;95.586.154;0;95.586.154
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;80116;b1;3;8;SAO PAULO;SP;03/2020;92.017;45.095.869;28.478.452;1.498.657;-3.899;1.494.759;0;0;0;0;0;8.543.207;7.297;1.516.887;85.228.488;0;85.228.488
CIELO S.A.;1027058;;;84710;n4;2;41;BARUERI;SP;03/2020;56.118;0;9.701.669;0;0;0;0;0;0;0;0;3.205.331;61.141.378;10.115.348;84.219.844;0;84.219.844
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;03/2020;978.590;7.160.004;25.593.744;33.060.047;-2.551.977;30.508.070;154;67.684;38.480;-3.534;102.785;7.347.658;8.257.695;3.444.446;83.392.992;38.480;83.354.512
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;03/2020;151.836;13.881.429;16.149.707;12.039.496;-7.276;12.032.220;0;0;0;0;0;2.903.223;21.289.260;213.181;66.620.855;0;66.620.855
REDECARD S.A.;1425787;;;80099;n4;2;41;SAO PAULO;SP;03/2020;415.867;5.160.796;3.877.106;0;0;0;0;0;0;0;0;462.978;52.460.563;1.504.373;63.881.684;0;63.881.684
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;03/2020;132.539;8.237.527;17.218.316;4.955.516;-19.025;4.936.491;0;0;0;0;0;32.972.515;13.958;54.834;63.566.180;0;63.566.180
